,temperature,humidity,rainfall,temp_min,temp_max,label
0,20.87974371,82.00274423,202.9355362,18,28,rice
1,21.77046169,80.31964408,226.6555374,18,28,rice
2,23.00445915,82.3207629,263.9642476,18,28,rice
3,26.49109635,80.15836264,242.8640342,18,28,rice
4,20.13017482,81.60487287,262.7173405,18,28,rice
5,23.05804872,83.37011772,251.0549998,18,28,rice
6,22.70883798,82.63941394,271.3248604,18,28,rice
7,20.27774362,82.89408619,241.9741949,18,28,rice
8,24.51588066,83.5352163,230.4462359,18,28,rice
9,23.22397386,83.03322691,221.2091958,18,28,rice
10,26.52723513,81.41753846,264.6148697,18,28,rice
11,23.97898217,81.45061596,250.0832336,18,28,rice
12,26.80079604,80.88684822,284.4364567,18,28,rice
13,24.01497622,82.05687182,185.2773389,18,28,rice
14,25.66585205,80.66385045,209.5869708,18,28,rice
15,24.28209415,80.30025587,231.0863347,18,28,rice
16,21.58711777,82.7883708,276.6552459,18,28,rice
17,23.79391957,80.41817957,206.2611855,18,28,rice
18,21.8652524,80.1923008,224.5550169,18,28,rice
19,23.57943626,83.58760316,291.2986618,18,28,rice
20,21.32504158,80.47476396,185.4974732,18,28,rice
21,25.15745531,83.11713476,231.3843163,18,28,rice
22,21.94766735,80.97384195,213.3560921,18,28,rice
23,21.0525355,82.67839517,233.1075816,18,28,rice
24,23.48381344,81.33265073,224.0581164,18,28,rice
25,25.0756354,80.52389148,257.0038865,18,28,rice
26,26.35927159,84.04403589,271.3586137,18,28,rice
27,24.52922681,80.54498576,260.2634026,18,28,rice
28,20.77576147,84.49774397,240.0810647,18,28,rice
29,22.30157427,80.64416466,197.9791215,18,28,rice
30,21.44653958,84.94375962,272.2017204,18,28,rice
31,22.17931888,80.33127223,200.0882787,18,28,rice
32,24.52783742,82.73685569,224.6757231,18,28,rice
33,20.26707606,81.63895217,270.4417274,18,28,rice
34,25.7354293,83.88266234,233.1321372,18,28,rice
35,26.79533926,82.1480873,193.3473987,18,28,rice
36,26.75754171,81.17734011,272.2999056,18,28,rice
37,23.86330467,83.15250801,285.2493645,18,28,rice
38,21.01944696,82.95221726,298.4018471,18,28,rice
39,24.17298839,83.7287574,257.0343554,18,28,rice
40,22.78133816,82.06719137,248.7183228,18,28,rice
41,25.62980105,83.52842314,209.9001977,18,28,rice
42,25.59704938,80.14509262,200.834898,18,28,rice
43,23.83067496,84.81360127,298.5601175,18,28,rice
44,26.31355498,82.36698992,265.5355937,18,28,rice
45,24.8972823,80.52586088,183.6793207,18,28,rice
46,24.958779,84.47963372,196.9560008,18,28,rice
47,23.24113501,84.59201843,233.0453455,18,28,rice
48,21.66628296,80.70960551,210.8142087,18,28,rice
49,24.63544858,80.41363018,253.7202781,18,28,rice
50,23.43121862,83.06310136,219.9048349,18,28,rice
51,20.0454142,80.3477562,208.5810155,18,28,rice
